 1728  pads
 1728  groups
   24  rows
    1  max number of pads in a group
   72  max number of pads   in row
   72  max number of groups in row
***************************************************
*  Layout for LP-TPC                               
                       centre [mm]       size [mm] 
  Pad  Group  Row      x        y        x       y 
  331   331   22    65.9125   65.5221  3.2162  7.0417
  332   332   20    74.8788   51.0234  3.1875  7.0417
  333   333   22    62.6990   65.6528  3.2162  7.0417
  334   334   20    71.6947   51.1724  3.1875  7.0417
  335   335   22    59.4852   65.7770  3.2162  7.0417
  336   336   20    68.5103   51.3149  3.1875  7.0417
  337   337   23    75.8877   72.1243  3.2305  7.0417
  338   338   20    65.3257   51.4510  3.1875  7.0417
  339   339   23    72.6607   72.2753  3.2305  7.0417
  340   340   20    62.1408   51.5805  3.1875  7.0417
  341   341   23    69.4335   72.4197  3.2305  7.0417
  342   342   20    58.9556   51.7036  3.1875  7.0417
  343   343   23    66.2059   72.5576  3.2305  7.0417
  344   344   21    75.2151   58.0570  3.2019  7.0417
  345   345   23    62.9781   72.6889  3.2305  7.0417
  346   346   21    72.0167   58.2067  3.2019  7.0417
  347   347   23    59.7500   72.8137  3.2305  7.0417
  348   348   21    68.8180   58.3498  3.2019  7.0417
  349   349   24    76.2240   79.1579  3.2448  7.0417
  350   350   21    65.6191   58.4865  3.2019  7.0417
  351   351   24    60.0148   79.8504  3.2448  7.0417
  352   352   21    62.4199   58.6167  3.2019  7.0417
  353   353   24    63.2572   79.7251  3.2448  7.0417
  354   354   21    59.2204   58.7403  3.2019  7.0417
  355   355   24    66.4993   79.5932  3.2448  7.0417
  356   356   22    75.5514   65.0906  3.2162  7.0417
  357   357   24    69.7412   79.4547  3.2448  7.0417
  358   358   22    72.3387   65.2410  3.2162  7.0417
  359   359   24    72.9827   79.3096  3.2448  7.0417
  360   360   22    69.1258   65.3848  3.2162  7.0417
  361   361   13    38.5874    3.0305  3.0873  7.0417
  362   362   13    41.6737    2.9489  3.0873  7.0417
  363   363   14    38.7664   10.0699  3.1016  7.0417
  364   364   14    41.8669    9.9879  3.1016  7.0417
  365   365   13    44.7598    2.8610  3.0873  7.0417
  366   366   14    44.9673    9.8996  3.1016  7.0417
  367   367   13    47.8456    2.7669  3.0873  7.0417
  368   368   14    48.0675    9.8051  3.1016  7.0417
  369   369   13    50.9313    2.6665  3.0873  7.0417
  370   370   14    51.1675    9.7042  3.1016  7.0417
  371   371   13    54.0168    2.5598  3.0873  7.0417
  372   372   14    54.2673    9.5970  3.1016  7.0417
  373   373   15    38.9453   17.1093  3.1160  7.0417
  374   374   15    42.0602   17.0269  3.1160  7.0417
  375   375   15    45.1749   16.9382  3.1160  7.0417
  376   376   15    48.2894   16.8432  3.1160  7.0417
  377   377   15    51.4037   16.7419  3.1160  7.0417
  378   378   15    54.5178   16.6342  3.1160  7.0417
  379   379   16    39.1242   24.1487  3.1303  7.0417
  380   380   16    42.2534   24.0659  3.1303  7.0417
  381   381   16    45.3824   23.9768  3.1303  7.0417
  382   382   16    48.5113   23.8814  3.1303  7.0417
  383   383   16    51.6399   23.7796  3.1303  7.0417
  384   384   16    54.7683   23.6714  3.1303  7.0417
  385   385   17    55.0188   30.7086  3.1446  7.0417
  386   386   17    51.8761   30.8173  3.1446  7.0417
  387   387   17    48.7331   30.9196  3.1446  7.0417
  388   388   17    45.5900   31.0155  3.1446  7.0417
  389   389   17    39.3032   31.1880  3.1446  7.0417
  390   390   17    42.4467   31.1049  3.1446  7.0417
  391   391   18    55.2693   37.7458  3.1589  7.0417
  392   392   18    52.1122   37.8550  3.1589  7.0417
  393   393   18    48.9550   37.9577  3.1589  7.0417
  394   394   18    45.7976   38.0541  3.1589  7.0417
  395   395   18    39.4821   38.2274  3.1589  7.0417
  396   396   18    42.6399   38.1440  3.1589  7.0417
  397   397   19    52.3484   44.8927  3.1732  7.0417
  398   398   19    55.5197   44.7830  3.1732  7.0417
  399   399   19    46.0051   45.0927  3.1732  7.0417
  400   400   19    49.1769   44.9959  3.1732  7.0417
  401   401   20    55.7702   51.8203  3.1875  7.0417
  402   402   19    42.8332   45.1830  3.1732  7.0417
  403   403   20    49.3987   52.0341  3.1875  7.0417
  404   404   20    52.5846   51.9304  3.1875  7.0417
  405   405   19    39.6611   45.2668  3.1732  7.0417
  406   406   20    46.2127   52.1313  3.1875  7.0417
  407   407   24    43.7994   80.3780  3.2448  7.0417
  408   408   24    50.2862   80.1868  3.2448  7.0417
  409   409   24    40.5557   80.4638  3.2448  7.0417
  410   410   24    56.7722   79.9691  3.2448  7.0417
  411   411   24    47.0429   80.2857  3.2448  7.0417
  412   412   20    43.0264   52.2220  3.1875  7.0417
  413   413   24    53.5293   80.0812  3.2448  7.0417
  414   414   21    56.0207   58.8575  3.2019  7.0417
  415   415   23    40.3768   73.4244  3.2305  7.0417
  416   416   21    52.8208   58.9681  3.2019  7.0417
  417   417   23    43.6062   73.3390  3.2305  7.0417
  418   418   21    49.6206   59.0722  3.2019  7.0417
  419   419   23    46.8354   73.2471  3.2305  7.0417
  420   420   20    39.8400   52.3062  3.1875  7.0417
  421   421   22    56.2712   65.8947  3.2162  7.0417
  422   422   21    46.4202   59.1699  3.2019  7.0417
  423   423   22    53.0569   66.0058  3.2162  7.0417
  424   424   21    43.2197   59.2610  3.2019  7.0417
  425   425   22    46.6278   66.2085  3.2162  7.0417
  426   426   22    49.8425   66.1104  3.2162  7.0417
  427   427   22    40.1979   66.3850  3.2162  7.0417
  428   428   22    43.4129   66.3000  3.2162  7.0417
  429   429   23    53.2931   73.0435  3.2305  7.0417
  430   430   21    40.0189   59.3456  3.2019  7.0417
  431   431   23    50.0643   73.1486  3.2305  7.0417
  432   432   23    56.5217   72.9319  3.2305  7.0417
  433   433    2    51.2615  -74.8495  2.9298  7.0417
  434   434    3    36.7981  -67.3635  2.9442  7.0417
