#                                          
# MAP for Data Channel to Layout (Row,Col) 
#                                          
# Convention:                              
#    - Looking at the Pad Surface          
#    - Lower-Left corner is (0,0)          
#                                          
# Create by Yun-Ha using David's Map       
#                                          
# NOTE:                                    
#  pad at 20,65 is for HV
#  pad at 20,64 is for HV
#                             
#  72, 73 are added manually to give location anyway
#             
#-------------------------------           
# PhysChan  FEC  ASIC  Row  Col            
#-------------------------------           
      775    2    10    9   41
      776    2    10    9   37
      777    2    10    9   40
      778    2    10    9   38
      779    2    10    9   39
      780    2    10   10   36
      781    2    10   10   41
      782    2    10   10   38
      783    2    10   10   39
      784    2    10   10   37
      785    2    10   10   40
      786    2    10   11   36
      787    2    10   11   41
      788    2    10   11   37
      789    2    10   11   40
      790    2    10   11   38
      791    2    10   11   39
      792    2    11    2   43
      793    2    11    2   45
      794    2    11    1   43
      795    2    11    1   45
      796    2    11    0   43
      797    2    11    0   45
      798    2    11    2   42
      799    2    11    0   46
      800    2    11    0   44
      801    2    11    1   46
      802    2    11    1   44
      803    2    11    2   46
      804    2    11    2   44
      805    2    11    3   46
      806    2    11    3   42
      807    2    11    0   47
      808    2    11    3   43
      809    2    11    1   47
      810    2    11    3   44
      811    2    11    2   47
      812    2    11    3   45
      813    2    11    3   47
      814    2    11    1   42
      815    2    11    4   45
      816    2    11    0   42
      817    2    11    4   46
      818    2    11    4   42
      819    2    11    4   47
      820    2    11    4   43
      821    2    11    5   44
      822    2    11    4   44
      823    2    11    5   45
      824    2    11    5   43
      825    2    11    5   46
      826    2    11    5   42
      827    2    11    5   47
      828    2    11    6   42
      829    2    11    6   45
      830    2    11    6   43
      831    2    11    6   46
      832    2    11    6   44
      833    2    11    6   47
      834    2    11    7   42
      835    2    11    7   45
      836    2    11    7   43
      837    2    11    7   46
      838    2    11    7   44
      839    2    11    7   47
      840    2    11    8   43
      841    2    11    8   47
      842    2    11    8   42
      843    2    11    8   46
      844    2    11    9   47
      845    2    11    8   45
      846    2    11    9   44
      847    2    11    8   44
      848    2    11    9   42
      849    2    11    9   46
      850    2    11    9   43
      851    2    11   10   47
      852    2    11   10   44
      853    2    11    9   45
      854    2    11   10   43
      855    2    11   10   46
      856    2    11   10   42
      857    2    11   10   45
      858    2    11   11   44
      859    2    11   11   45
      860    2    11   11   43
      861    2    11   11   46
      862    2    11   11   42
      863    2    11   11   47
      864    3    12   12   32
      865    3    12   12   33
      866    3    12   12   31
      867    3    12   12   34
      868    3    12   12   30
      869    3    12   12   35
      870    3    12   13   31
      871    3    12   13   34
      872    3    12   13   32
      873    3    12   13   33
      874    3    12   13   30
      875    3    12   13   35
      876    3    12   14   32
      877    3    12   14   33
      878    3    12   14   31
      879    3    12   14   34
      880    3    12   14   30
      881    3    12   14   35
      882    3    12   15   30
      883    3    12   15   33
      884    3    12   15   32
      885    3    12   15   34
      886    3    12   15   31
      887    3    12   15   35
      888    3    12   16   30
      889    3    12   16   35
      890    3    12   16   31
      891    3    12   16   34
      892    3    12   16   32
      893    3    12   16   33
      894    3    12   17   30
      895    3    12   17   35
      896    3    12   18   30
      897    3    12   17   34
      898    3    12   17   32
      899    3    12   17   33
      900    3    12   19   30
      901    3    12   18   35
      902    3    12   17   31
      903    3    12   19   35
      904    3    12   20   30
      905    3    12   20   35
      906    3    12   21   30
      907    3    12   21   35
      908    3    12   22   30
      909    3    12   22   35
      910    3    12   23   30
      911    3    12   23   35
      912    3    12   18   31
      913    3    12   18   33
      914    3    12   18   32
      915    3    12   18   34
      916    3    12   23   31
      917    3    12   22   34
      918    3    12   22   31
      919    3    12   19   34
      920    3    12   21   31
      921    3    12   22   33
      922    3    12   19   31
      923    3    12   21   34
      924    3    12   19   32
      925    3    12   19   33
      926    3    12   23   32
      927    3    12   20   34
      928    3    12   23   33
      929    3    12   21   33
      930    3    12   22   32
      931    3    12   21   32
      932    3    12   23   34
      933    3    12   20   32
      934    3    12   20   31
      935    3    12   20   33
      936    3    13   12   24
      937    3    13   12   29
      938    3    13   12   25
      939    3    13   12   28
      940    3    13   12   26
      941    3    13   12   27
      942    3    13   13   27
      943    3    13   13   29
      944    3    13   13   25
      945    3    13   13   28
      946    3    13   14   28
      947    3    13   13   26
      948    3    13   14   27
      949    3    13   13   24
      950    3    13   14   25
      951    3    13   14   29
      952    3    13   15   28
      953    3    13   14   26
      954    3    13   15   27
      955    3    13   14   24
      956    3    13   15   25
      957    3    13   15   29
      958    3    13   16   24
      959    3    13   15   26
      960    3    13   16   27
      961    3    13   15   24
      962    3    13   16   25
      963    3    13   16   28
      964    3    13   16   26
      965    3    13   16   29
      966    3    13   17   24
      967    3    13   17   25
      968    3    13   17   26
      969    3    13   17   28
      970    3    13   17   27
      971    3    13   17   29
      972    3    13   18   24
      973    3    13   18   29
      974    3    13   18   25
      975    3    13   20   27
      976    3    13   18   26
      977    3    13   20   28
      978    3    13   19   24
      979    3    13   21   26
      980    3    13   19   25
      981    3    13   23   25
      982    3    13   18   27
      983    3    13   22   26
      984    3    13   18   28
      985    3    13   23   26
      986    3    13   19   26
      987    3    13   23   29
      988    3    13   20   24
      989    3    13   22   29
      990    3    13   20   25
      991    3    13   23   28
      992    3    13   21   24
      993    3    13   22   28
      994    3    13   19   27
      995    3    13   19   29
      996    3    13   19   28
      997    3    13   23   27
      998    3    13   21   25
      999    3    13   21   29
     1000    3    13   22   24
     1001    3    13   21   27
     1002    3    13   23   24
     1003    3    13   22   27
     1004    3    13   20   26
     1005    3    13   21   28
     1006    3    13   22   25
     1007    3    13   20   29
     1008    3    14    2   26
     1009    3    14    2   28
     1010    3    14    1   26
     1011    3    14    1   28
     1012    3    14    0   26
     1013    3    14    0   28
     1014    3    14    0   25
     1015    3    14    2   29
     1016    3    14    1   25
     1017    3    14    0   27
     1018    3    14    2   25
     1019    3    14    1   27
     1020    3    14    3   25
     1021    3    14    2   27
     1022    3    14    0   24
     1023    3    14    3   29
     1024    3    14    1   24
     1025    3    14    3   28
     1026    3    14    2   24
     1027    3    14    3   27
     1028    3    14    3   24
     1029    3    14    3   26
     1030    3    14    4   26
     1031    3    14    1   29
     1032    3    14    4   25
     1033    3    14    0   29
     1034    3    14    4   24
     1035    3    14    4   29
     1036    3    14    5   27
     1037    3    14    4   28
     1038    3    14    5   26
     1039    3    14    4   27
     1040    3    14    5   25
     1041    3    14    5   28
     1042    3    14    5   24
     1043    3    14    5   29
     1044    3    14    6   26
     1045    3    14    6   29
     1046    3    14    6   25
     1047    3    14    6   28
     1048    3    14    6   24
     1049    3    14    6   27
     1050    3    14    7   26
     1051    3    14    7   29
     1052    3    14    7   25
     1053    3    14    7   28
     1054    3    14    7   24
     1055    3    14    7   27
     1056    3    14    8   24
     1057    3    14    8   28
     1058    3    14    8   25
     1059    3    14    8   29
     1060    3    14    8   26
     1061    3    14    9   24
     1062    3    14    8   27
     1063    3    14    9   27
     1064    3    14    9   25
     1065    3    14    9   29
     1066    3    14   10   24
     1067    3    14    9   28
     1068    3    14    9   26
     1069    3    14   10   27
     1070    3    14   10   25
     1071    3    14   10   28
     1072    3    14   10   26
     1073    3    14   10   29
     1074    3    14   11   26
     1075    3    14   11   27
     1076    3    14   11   25
     1077    3    14   11   28
     1078    3    14   11   24
     1079    3    14   11   29
     1080    3    15    3   31
     1081    3    15    3   33
     1082    3    15    0   33
     1083    3    15    3   32
     1084    3    15    1   32
     1085    3    15    2   32
     1086    3    15    0   34
     1087    3    15    2   33
     1088    3    15    0   32
     1089    3    15    3   34
     1090    3    15    4   32
     1091    3    15    4   33
     1092    3    15    4   31
     1093    3    15    2   34
     1094    3    15    2   31
     1095    3    15    1   33
     1096    3    15    1   31
     1097    3    15    4   34
     1098    3    15    0   31
     1099    3    15    1   34
     1100    3    15    5   32
     1101    3    15    5   34
     1102    3    15    5   31
     1103    3    15    5   33
     1104    3    15    0   30
     1105    3    15    0   35
     1106    3    15    1   30
     1107    3    15    1   35
     1108    3    15    2   30
     1109    3    15    2   35
     1110    3    15    4   30
     1111    3    15    3   35
     1112    3    15    6   31
     1113    3    15    4   35
     1114    3    15    3   30
     1115    3    15    5   35
     1116    3    15    6   32
     1117    3    15    6   33
     1118    3    15    5   30
     1119    3    15    6   34
     1120    3    15    6   30
     1121    3    15    6   35
     1122    3    15    7   32
     1123    3    15    7   33
     1124    3    15    7   31
     1125    3    15    7   34
     1126    3    15    7   30
     1127    3    15    7   35
     1128    3    15    8   32
     1129    3    15    8   35
     1130    3    15    8   31
     1131    3    15    8   34
     1132    3    15    8   30
     1133    3    15    8   33
     1134    3    15    9   30
     1135    3    15    9   35
     1136    3    15    9   31
     1137    3    15    9   34
     1138    3    15    9   32
     1139    3    15    9   33
     1140    3    15   10   30
     1141    3    15   10   35
     1142    3    15   10   32
     1143    3    15   10   33
     1144    3    15   10   31
     1145    3    15   10   34
     1146    3    15   11   30
     1147    3    15   11   35
     1148    3    15   11   31
     1149    3    15   11   34
     1150    3    15   11   32
     1151    3    15   11   33
     1152    4    16   12   22
     1153    4    16   12   23
     1154    4    16   13   22
     1155    4    16   13   23
     1156    4    16   13   21
     1157    4    16   12   21
     1158    4    16   13   20
     1159    4    16   12   20
     1160    4    16   13   19
     1161    4    16   12   19
